comments,sentiment
"The host was not answering, the fridge was really dirty as well as the bathroom, the pictures were corresponding to the reality",NEGATIVE
"Very dirty, very much noise from up neighbours I couldn’t sleep, rooms are horrible, so humidity and I could not breath special that I have some breath problem. There was one man who come inside without let me know . And all was just horrible.",NEGATIVE
"We were looking forward to our stay at Robert O Yasmin's apartment. Unfortunately, when we arrived, we discovered that the apartment we checked in to was not the one we had booked, and we were given no warning in advance. The new apartment was on the ground floor, had hardly any windows, and the bedrooms were located in a musty basement with no windows. I reached Robert (I think?) on the phone and he didn't offer much by explanation. Another person -- Johnny -- who worked at a nearby hotel that manages the property, came by and showed us the original apartment, which had almost no furniture in it and was scattered with other items and boxes. He only said that there had been ""a problem"" with it and didn't elaborate further. They offered to let us stay for free in the new apartment or at the hotel, which wasn't great either. Neither of these were what we had bargained for, and we ended up scrambling to find another place at the last minute. We understand that unexpected issues can happen, but the fact that they did not communicate about it at all before our arrival -- and only poorly so after -- really made me think that whoever runs this place is not a very committed host. I'd steer clear of any properties hosted by these people in the future.",NEGATIVE
"Bad internet connection, no windows in rooms. Drain pipes are exposed in the ceiling and walls of the bedrooms. Electric plug sockets are out of the wall which felt a bit unsafe. Host is super nice and easy to talk to. Unfortunately, it was an unpleasant stay for a business trip.",NEGATIVE
"Great location, nice host and good communication. The stoves did not work unfortunately",NEGATIVE
"I read the reviews and was aware that the rooms were in a basement. What others have not mentioned is that this basement has no fire escape. The rooms did not have any fire alarms, correctly placed smoke detectors, or extinguishing equipment. In addition, there were fans running constantly to fight the humidity and heat. The window by the stairs did not have any curtain and people could look straight in. None of the windows was possible to close properly. On top of that, two of the rooms did not have internet access. All in all, it did not feel like a safe place to sleep. It is a shame, as the place itself is cool and has charm. Other complaints were that there were no bathrobes, was dusty (particularly on the pipes and ventilation), and there was no Wifi password available when we arrived. The fans were noisy and the switch didn't work. Water from somewhere else in the building went through one of the rooms, which also was noisy. A place to avoid, despite the stellar location.",NEGATIVE
"Location great, but the apartment wasn’t cleaned good, and there were a lot of noises from above.",NEGATIVE
"Very affordable and maybe worth for a short 1-3 day stay. Great location, spacious, easy to find & check in. However, some things to note: - 3 bedrooms, but each room has 2 small beds and not 1 large bed! So it’s really a 6 bedroom apartment. The beds were very tiny and we did not enjoy them. - The bedrooms are downstairs, and in 2 bedrooms there is no wifi. There is also no phone service because of stone walls. So you don’t have any internet at all in your bed. Couldn’t make calls, send texts, watch videos, send emails… very disappointed. - Cleanliness in bedrooms not great, floor very dusty. Also fairly sure there were bed bugs and we will have to disinfect all our belongings…",NEGATIVE
Slow response after 8-10 hours. Not helpful .If you have luggage don't come because approach road is very steep. Away from city local conveyance is expensive to the city centre. You will not get even sugar for tea or coffee in kitchen.,NEGATIVE
I cannot recommend this place.,NEGATIVE
"The main (and critical - we are living in 2021, not in 1980) issue of that apartment- is the Internet. Unfortunately they don't have a wired connection inside of the place. The router is put somewhere, where you don't have an access to, and the only thing you have for you - it's the Wi-Fi connection through an extender. It seems like the router is very far from the apartment - so, any disturbances with the extending grid cause disconnection. In addition to that, the router itself doesn't work properly (may be because it's overloaded by lot of clients connections) - so, you may expect 5-10 mins outage of the Internet >10 times a day. I don't know why they can't have a router with a wired connection inside of the apartment. May be because they are trying to save some money paying for only one shared connection to the provider, or may be it's something because of the housing company limitation/requirement. Anyway, the current owner doesn't look willing to resolve the issue. The only thing, that we've got from him - the suggestion to compensate the mobile internet, we can use through our phones. So, if you need a stable Internet connection for your work - I strongly recommend avoid staying there (at list until the owners manage to fix that). Other than that - everything was near to perfect. There are almost everything you may need for a long stay - vacuum cleaner, iron, coffee-machine, dishes, linens etc. Even the floor in the bathroom is heated. The apartment is very big and has a lot of windows. In addition to that, if you come when the weather is warm - you may have a dinner on the balcony near the forest, using candles on the wall. That's very romantic.",NEGATIVE
the bed have to be cleaned to kill the bed bugs,NEGATIVE
I am not getting words how to describe the host. The apartment was nice and decent but the host is too weird. It's difficult to express what she did and same is not expected. We stayed at her place for three nights and after leaving she sends me three pictures. First one was her torn couch It was shocking to see that as I have no idea about it. At first instance failed to understand the same. The second picture was of used towels. I dnt know what is the host expecting as there was no washing machine in the apartment and if we are staying there for three nights it' is obvious that we will take shower and use towel for the purpose they are ment for. The third picture was of the kitchen shelf were there is little bread crumbs. I used the kitchen for three days and cleared everything. All was cleaned from the kitchen utensils to shelves everything. Infact the garbage was even thrown in the garbage bin on the other side of the house to keep it clean. It's shocking how people react. Everything was used with proper care and still people act like this. Host created a ruckus out of nothing and asked me to pay damages. The behaviour is shocking and if this is the case then I think people should prefer hotels instead of these apartments. I am grateful that she didn't accused me of anything else. Like her attitude she can do or say anything. I still cannot digest how people point out finger at others. I think Airbnb should take strict action against such host. So that innocent people doesn't suffer.,NEGATIVE
Far from city center but near the metro station and supermarket. The apartment located in a place I think it's not safety that much and check in method is unsafe(Anyone can get the key before I arrive). But the room is new and clean. Should add washing machine in the kitchen.,NEGATIVE
"The space was okay. The double bunk bed wasn’t big enough for two adults to sleep comfortably and I had trouble as a 100lb person getting up to the bunk bed bc the space was tight. The real issue for me which I should have checked which is why I am mentioning, the check out was ridiculously early, is was 10am I’ve never had such an early check out before. Our flight was in the evening so I asked if we could check out a bit later or leave our luggage for a few hours. The paper guide in the apartment said bags could be left till 1pm but when I asked we were told we couldn’t leave them past 10am. Also had to take out our trash to the other side of the building which I’ve never had to do before with Airbnb. In conclusion space was fine but don’t count on hospitality. Pros: modern apt good appliances and wifi connection.",NEGATIVE
Difficult parking if you arrive by car,NEGATIVE
"Very clean and really nicely decorated, bed very comfortable. Had our 12 month old son with us and we were supplied with a nice cot and high chair. Unfortunately the entrance to the Airbnb wasn’t the easiest to get up with a pram/baby. The place is up a hill with uneven steps which wasn’t on the listing, if we had known this prior we probably wouldn’t have booked. Also you have to park on a different road not outside the Airbnb which again was inconvenient for us as a family. Wasn’t as rural as we expected from the photos but once you get down to the lake it was beautiful!",NEGATIVE
"1. Put away your tons of private belongings. There is photos and clothes of the host and their family every where, cant even hang up my clothes in any of the wardrobes and even the hall was full of tjeir shoes and jackets. 2. The 2 fridges are stuck with food so dont expect to be able to buy other foods. 3. Many furnitures are old, it looks nice but it isnt nice as it is. 4. The place is not clean and full of personal stuff. I had a birthday dinner on the day before the day of checking out. We were making food and drinking he said i shall be the one throwing the trashes. I paid 2000 sek for ”cleaning service” and he told me that i shall be the one cleaning and throwing trashes! 5. The shower doesnt have proper shower sealing so water comes outand i had to take a towel to put on the floor. 6. Basically everything was just a huge disappointed especially when i paid 660 euros for 2 nights. 7. He blamed me saying that i took his beer but i did not. I dont even drink beer. 8. He said you not allowed to sleep on the couch!?!?!? 9. The lamp frame was loose so i took it off from the lamp and he said i broke it wtf? 10. We dont even smoke and he said we put cigarette on the floor. 11. I had a birthday dinner so ofc there will be a lot of food that we cooked and it will be messy day after - with the high cleaning fee ofc i expect s maid to clean. But he said he dont have a maid and he will clean himmself - why even put up such big lie? 12. Its not even correct door code as he deseibed it so we had to wait outside the door on day of check in until 18:00 pm. 13. I have videos and photos of how every room looked like before i started using the place and its so crazy how he can say that i put sway hes stuff. Ofc who want to see 700 pictures of his family? It supposed to be rented out and less personal. 14. Basically the whole summary pf this place is not worth 375 euros per night. We wear three people. 15. Also my friend forgot her keys in his condo he refused answer calls and return it 16. Also be careful, his neighbour especially the elder lady in white hear. When we tried to go into the door at check in she said we dont live here and tried to not let us in. - His unit is rented under black and not approved by the management building to rent out, so the management chiefs might make him forcesale his unit because of breaking the swedish law in rentinh it out. And just because i left so much to dish he got so angry hes putting up a bunch of crazy lies, Like for example i took hes beer?!?! Or i put cigarettes on his rough?!?!! That i broke the fridge ?!?!?? The freezer the down part the boxes is already broken and Stacked with hes own food. And that i put hamburger on the couch?!?! -.- 17. I have properties myself and have rented out and rented others places during my 6 years of frequently travelling international. And first time in my life i meet sn host thst cant take responsibilites for his own cleaning. Why do i have to do the dishes and throw trashes when there is a cleaning fee of 200 euros!??? *message to owner: Du ska också vara väldigt försiktigt med dina lögner. Jag kanske också borde berätta till din förening att du hyr ut olagligt och till skatteverket så att du kan börja taxera på alla dina tidigare och framtida olagliga uthyrningar. Att gå på mig personligt och ljuga om saker som vi inte har gjort är en synd. Jag är katolsk och när man ljuger hamnar man i helvetet. Så hoppas du får det bra i helvetet. Amen",NEGATIVE
Great location. Very stilish apartment. Only negative points: there is no space for your clothes (everything has to stay in your suitcase) and the kitchen is not really set up/equiped to cook.,NEGATIVE
"Perfect location but far from perfect designed bathroom. Shower was not working properly, also no ability to use washing machine as listed in description.",NEGATIVE
"Lovely place, lovely location. However, no AC on bottom floor in summer creates a very stuffy environment (and you can't open door to common patio to vent it). Very difficult (stressful) to check in as check-in instructions are completely different than listed instructions attached to listing that host sends separately after the fact only after you complete other separate agreements .",NEGATIVE
"We stayed in the apartment 3 nights. The position is good, in city old town center. The apartment could potentially be cozy if the cleaning conditions were not so poor. The whole apartment was full of dust. We found hair on our pillow cases and for one of the beds the sheets were clearly unwashed and the smell was not good. In the bathroom the shower carpet was in indecent conditions as well as the drawers of the kitchen.",NEGATIVE
Unfortunately we didn't have chance to meet cause I had problems with the flight.,NEGATIVE
"The house was nice and looked like the pictures. However, the landlady did not make me and my friend comfortable and questioned our legitimacy and even wanted to take photo of my ID. This led to us not wanting to stay more than 1 night when we had booked for 3.",NEGATIVE
Nice apartment with clean facilities. The only negative was that there seem to be a problem with Ants all around the apartment and in the kitchen.,NEGATIVE
"fairly old place, towels are rather stained and dirty. Host very unresponsive. it took her 2 days to reply, airbnb says with in an hour usually.",NEGATIVE
"The was some good things and bad things about our stay in this apartment. The communication, location and assistance with baggage storage were great. The main complains are that the shower was not fixed after a previous guest had complained and the entire bathroom floor was flooded and towels were all wet on the floor. This made the showering progress very uncomfortable. There were also so evenings and mornings where there were no warm water. Just something to note is that the kitchen is super tiny and not suitable if you want to cook proper meals but its good enough for a quick meal. Overall I would not recommend this apartment to another quest except if the shower is fixed then I would.",NEGATIVE
"The pros: The location is excellent and the beds are very comfortable. The check-in instructions were easy. The layout as described. The cons: We had significant problems with the hot water, meaning that one person took a 10 minute shower, and then there was no hot or even warm water at all for more than at least 4 hours after. Maybe longer. We have up waiting. The heat did not work in the bedroom or the bathroom, despite there being two radiators in the bedroom and one in the bathroom. The host seemed surprised, but due to there being a (very small) space heater in the bedroom, it seems as though maybe someone was aware the heat did not work prior to our arrival. The small space heater was not effective in heating the bedroom, and we had to layer our scarves and towels on the bed the first night. The host had someone drop off a larger space heater the next day, but only after we got no reply to our messages for more than 12 hours. We also planned to do laundry utilizing the washer and dryer listed in the amenities the night of our arrival and following morning, but there were on a different floor of the building, through a couple doors and there was no indication anywhere in the apartment of where they were located, so we had to rearrange our schedule and lost hours due to this. We heard back the following day after inquiring to the location. The coffee maker, toaster, tea kettle, and kitchenette area as a whole was all quite dirty. With various splatters on the walls and crumbs all over the counter and under the appliances, it looks as though it has not been properly cleaned in a while. The checkout instructions do advise to clean your own dishes and it seems that beyond what the previous guest dishwashing skills consist of there is no further consideration. There was no hand towel supplied in the kitchen. There was a roll of something, thinner than the toilet paper. Great location, but would not stay here again.",NEGATIVE
The house is nice but it is not clean and it’s very very very small. The Kitchen has only a electric cooker and it’s possibile to cook only by one pan a time!! I found the fridge and the cooker hood really dirty. There’s no lift and it’s on the top floor.,NEGATIVE
"After 30 or more Airbnb experiences this is the first one that was a disappointment. The flat is falsely advertised as having an open fireplace. It does not actually work, so don't expect making a cozy fire. The checking in process was not smooth, the host forgot to send the details before my arrival and the cleaning of the apartment was very poor. Several other details were disappointing, such as the hall lamp not working and hanging freely from the ceiling, the loose door handle to the bathroom and the wifi that was too poor to handle m video calls. Overall, very little attention to detail and not very corresponding to the images presented. I normally would not be too bothered, but there were simply too many faults to be acceptable, especially given the price. The fact that the host did not get back to me on any of these points is disappointing also. As a host on Airbnb myself with a fairly high rating I would be remiss not to mention the above. On the plus side, the bed was comfortable and the sauna very nice. Not nice enough to compensate for the many faults, but still. Not a lot of apartments offer this feature, and it is quite pleasant in winter. It is also in a lovely part of Stockholm, so the location is very good. With a bit more energy put into it, faults fixed and cleaning routines shored up, I am sure it can be a lovely home away from home for future guests.",NEGATIVE
"While location was great and it was nice to stay in Gamla Stan, we received very poor treatment compared to many other Airbnbs we have stayed in before. We never received the towels we asked for, the dishes were very dirty, many items were broken, and the kitchen was very close to being dis-functional.",NEGATIVE
"I recommend to read the listing very closely as this is a two ROOM apartment, not a two bedroom. It was a tight fit for our family of four as the kids room doubles as the sitting room and dining room. The kitchen is both tiny to the point of being unusable and was incredibly dirty. Sponges and cloths were absolutely filthy. We had to purchase new sponges and cleaning clothes in order to clean the grime off the dishes and glasses before using them. There were also only three water glasses. Location is great. We liked being on the quieter side of Gamla Stan. Check-in was a little complicated as the address the AirBNB app leads you to is different than the address provided in the check-in instructions, so be sure to use the check-in instructions.",NEGATIVE
I reported the shower is broken and there’s no attempt to repair. No shower gel provided. Floor mat in the bathroom was not provided as well. When reported more towels were provided not floor mat.,NEGATIVE
"This was our last two night after being away for 60 days. It was our most unpleasant accomodation on our trip with the description of the place not what we got. It’s 52 stairs, with no outdoor area, it’s only one bedrooms (second bed is in the dining room) no stainless steel oven, toaster and kettle old and pealing, no water, harbour, city or lake view as the description says and no blind on the dining room window with 21 hours of day light. Location was great but disappointing when I asked Airbnb to make the host take down the incorrect information so that people are getting what they pay for and their response was “write a review if you’re unhappy, we can’t make hosts rewrite their listings”. It’s a great location but I think it’s important that the listing is correct.",NEGATIVE
Only noticeable thing is the clogged kitchen and washroom drains when water drains,NEGATIVE
"Putting a bed into the living room and calling it a second bedroom is unethical. AirBnB should check on stuff like that. The decor is outdated and shabby. The ""dining"" table is wobbly, and the plastic chairs are ugly, as is the weird privacy curtain around the bed in the living room. The kitchen doesn't look like you want to cook anything in there. But you can always use the microwave in the living/dining/bedroom/kitchen. Looking over some older reviews, it is apparent that whatever breaks at some point just won't be fixed or replaced. The blinds in the living/dining/bedroom/kitchen have been down for a year or so, and the problems with the shower have been mentioned before. I guess as long as people don't read the reviews and go by what the listing says, someone will rent the place and nothing will change. But that's a common problem with all short-term rentals.",NEGATIVE
Checking in was difficult; information was not relayed and when I reached out the owner was fairly rude. This is 4 flights up some very narrow stairs. The space is pretty small with virtually no kitchen.,NEGATIVE
"𝐂𝐥𝐞𝐚𝐧𝐥𝐢𝐧𝐞𝐬𝐬 The place was very dusty... In the bathroom there was a fan of some sort covered with dust and all around the wall and the glass shelve had a thick layer of dust. There was something I don't want to know what is on the front of the sink and short black hairs in the bathtub. Make-up spills on the shower curtain. The kitchen was, I think not cleaned before us arriving, the stove and backsplash was filthy, the wall behind had some food spills and drawer dusty and not cleaned. In the bed in the common area, there were the same short black hairs in the bed and somebody forgot their sock under that bed. Cob-web in the light above the golden bed. 𝐀𝐜𝐜𝐮𝐫𝐚𝐜𝐲 It would have been good to have in the description that the apartment was on the top floor without an elevator (65 steps). We were a party of four - one 80 year old, one recovering from an open heart surgery, one 34-weeks pregnant. We only had hand luggage, fortunately. What the photos don´t depict is that the second bedroom is very small and has no oven, so it was very cold. And the kitchen is very small. 𝐕𝐚𝐥𝐮𝐞 (𝐰𝐡𝐚𝐭 𝐰𝐨𝐮𝐥𝐝 𝐦𝐚𝐤𝐞 𝐭𝐡𝐢𝐬 𝐥𝐢𝐬𝐭𝐢𝐧𝐠 𝐚 𝐛𝐞𝐭𝐭𝐞𝐫 𝐯𝐚𝐥𝐮𝐞) Clean the apartment after every guest like you would want to have it if you were arriving yourself. Lie in the beds and take a look what your customers see when they lay in bed, sit on the toilet or at the dinner table. When you pay 500$ for accommodation, you at least want a clean accommodation. **𝗕𝗲𝘀𝗶𝗱𝗲𝘀 𝘁𝗵𝗶𝘀 𝗿𝗮𝗻𝘁, 𝘁𝗵𝗲 𝗽𝗹𝗮𝗰𝗲 𝗶𝘀 𝗯𝗲𝗮𝘂𝘁𝗶𝗳𝘂𝗹. 𝗧𝗵𝗲 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻 𝘄𝗶𝘁𝗵 𝘁𝗵𝗲 𝗵𝗼𝘀𝘁 𝘄𝗮𝘀 𝘃𝗲𝗿𝘆 𝗴𝗼𝗼𝗱 𝗮𝗻𝗱 𝗳𝗮𝘀𝘁, 𝗚𝗥𝗘𝗔𝗧 𝗹𝗼𝗰𝗮𝘁𝗶𝗼𝗻 𝗮𝗻𝗱 𝗲𝗮𝘀𝘆 𝗮𝗰𝗰𝗲𝘀𝘀 𝘁𝗼 𝘁𝗵𝗲 𝗮𝗰𝗰𝗼𝗺𝗺𝗼𝗱𝗮𝘁𝗶𝗼𝗻.**",NEGATIVE
"Nice apartments in a good place, but you definitely need to fix some details, they spoil the impression of this good place. The bath was very leaking and there were problems with the internet. I hope everything will be fixed and I will return to this wonderful place again.",NEGATIVE
The bed in the main area was subpar. Outlets were hanging out if the wall looks n need if repair. The tub had no drain stop. Impossible to shower without a holding stand for the shower head.,NEGATIVE
"Great location and super clean, but interior isnot super practical",NEGATIVE
"Unfortunately the apartment is completely worn out, a broken cubboard, broken mirrors, torn up pillows, missing bed lights and so on. Some things were solved right away, other things could not be solved that easy. We agreed on a discount.",NEGATIVE
"Great location and this is all the possitive . Host was very unclear from the very beginnig about time to check-in, saying we ""might"" be able to check in earlier, and/or we can leave our baggage ""in the hotel"", without mentioning what the hotel name is, what's the address of the hotel, or leave a phone number so we could arrange this ourselves (though a good host would arrange for us). Then, when we went into the room at 8pm, it turned out it was not cleaned at all. No sheets, no towels, it was like noone expected us to stay there. All the blankets, pillows etc. were left messy on the beds and couches, even on the table. We waited for one more hour for someone to come and bring the sheets and towels. The guy said it was already cleaned(!?) but it wasn't at all - was dusty, stains on the tables, i myself cleaned spilled coffee from one of the chairs in the living room. and we were offered bottles of Fanta and CocaCola left from the guests on the app-t on the lower floor(!?!) -annoying!",NEGATIVE
"We all get sickness and vomited special my 6/11 years old kids can’t get out, kids and mum never get out because of vomited . In stairs short ceiling I banged my head a few times. Handrail was have nails and injury my kids when he went up. This place was in 5 floors over 66 stairs and no lift . I am having physically issues just imagining how I climbed the round and scary stairs. I’ve got lots of pictures but I don’t like put disgusting pictures but if any one asking I’ll do. Regards",NEGATIVE
"Well I had stayed there before and to be honest was quite dreading coming back.My other airbnb experiences on that trip had been bright and wonderful. But this host's cancellation policy was strict and I would get no refund . So as I had only one night to spend before my flight home I decided to go with it. The thing is the neighbours severely object to airbnb and so the guests are put under severe constraints. Even turning the key in the lock would disturb them. Talking is a no no. The neighbours themselves make a lot of noise as is normal anywhere. but they are legit , I guess ! I am a superhost myself and so I really hate to have to state negative things The host herself is quite sweet. But it would help if she kept a hot jug and some tea coffee sugar. There is nothing. Only some teas left behind by other guests.No sugar in the house ! But nice of her to leave a bowl of cherries for me.The amenities are minimal and completely outdated. There is a plastic pipe going from under the potty to the water inlet. What made me really uncomfortable is that despite all this the host makes you sign a document which states that you will pay an amount outside of the airbnb resolution centre if amenities are damaged ! I seemed reluctant to sign because the amenities were minimal and could have done with refurbishing .She said signing was not mandatory but argued and I knew beyond a point she would not relent till the night was up.So I signed .Location is great though so if you are ok with other constraints .",NEGATIVE
"The place is easy to reach but not private. The room is between the living room and Tommy's bedroom, which means that he has to enter your bedroom to reach his room. So really a wide corridor that is the room. This was not clear at the time that I booked the room. I was very uncomfortable staying there. Between the noise from the main road, which is meters away from your bed (so no sign of the river as the photographs suggest) and the TV in the main room, don't expect a peaceful night. The dog Zelda is nice and quiet, but there is a distinct animal smell in the apartment.",NEGATIVE
"This wasn't really the kind of Airbnb I like to stay in. I think something that is really important to note is that there are two bedrooms as described. But if you are staying in the one that is furthest from the living room you have to go through the other guest's bedroom to get to your own. I didn't feel very comfortable with this set up because it meant having to disturb the other guest in their sleep when I came home late. If you are staying in the middle room I can imagine it'd be quite loud as you are subjected to whatever is going on in the living room, and the one night I stayed here there were people in the living room until 12:30 am. If you are ok with all of this, you would probably like this flat. It's well furnished and clean, the communication with Tommy was very easy as well as the check-in process. It depends on what you're looking for in a stay!",NEGATIVE
"The apartment is much smaller than expected and Tom sleeps in the kitchen and plays video games in the living room all day and night. I came in during the day opened my computer to do some work while heating up food. Tom came in after walking the dog and immediately started vacuuming under my chair then in my room. It felt passive aggressive. Then he turned on a skit about Chucky Cheese while I was on the computer and reading while waiting for my food to heat up. The entire apartment is not available. Just your room. He uses the rest of the small kitchen and living room to sleep, play video games, and watch tv. As he walked in while I was reading and on computer he started vacuuming. Then he commented on how the back two legs of my chair were on the wooden floor.",NEGATIVE
"I didn't actually get to stay at Ruben's because I booked the BnB for the same day. I texted him to tell him that I need the place for tonight, in the afternoon. He accepted the request at midnight, after I had already found another place and the night was half gone. In my opinion, when he saw that the booking was for tonight and it's already 11pm, he shouldn't have accepted. He barely knows working English so that made the whole ordeal even more difficult, or perhaps even caused the misunderstanding in the first place. I am sure the BnB is comfortable and Ruben is a polite guy but my experience was bad.",NEGATIVE
"Not many restaurants near the apartment. I had difficulty with the Induction stove, no experience with one. Would have been helpful to have written directions near the stove.",NEGATIVE
"Small flat well situated next to a metro station and a small supermarket. Very quiet area. But be careful to the pictures that seem to show you 2 bedrooms, which is wrong : there is one small real bedroom with a closing door but the second double bed is in the living room, absolutely not in a bedroom ! So if you are 4 people, you shouls rather be very close ! And the bathroom is very tiny, which can make uneasy to shower",NEGATIVE
"Lazy host, no key was left where he said it was, although I had told him I was checking in 3 hours later than expected. Had to wait an hour for the key to then find that the cleaner had not been!",NEGATIVE
"The apartment is spacious enough for 3 adults. But the 3rd sofa bed in the sitting room was not made for the 3rd adult. This was discovered in the evening and we tried calling the given number to try to get the needed sheets. But our several calls went unanswered. So, we send a message which was only answered the next day telling us where to go in the basement to get the needed sheets. We tried but didn't succeed so we tried to make do with what we can. The apartment is cold - heating is poor and the radiators are barely warm. We have to wear layers to stay warm especially at night with socks on to bed! The water pressure for the shower is poor. We even called the host to ask if the water pressure can be improved. Time for the provided towels to be replaced. Overall, should look into improving the above.",NEGATIVE
"Didn’t enjoy our stay here, unfortunately. Couch was disgusting with stains all over it. Host was dismissive when we complained & refused to confirm that it was not caused by ‘bodily fluids’. Neighbours smoked heavily in the hallway for most of our stay & it seeped in through the letterbox (tried to block it using the doormat to limited success). Honestly felt like we were staying in public housing. Would not recommend. Shame because the place has so much potential. It’s spacious, the heated floor in the bathroom is great, and the area is nice with a couple of good supermarkets.",NEGATIVE
"This is a tricky review for me to write. The apartment is clean and bright, located in a quiet neighbourhood close to the green line subway, and it is fairly priced. It has the slightly unlived characteristic of many professional airbnb places, but I don't mind. These were our issues: - The water pressure in the shower is really weak. If you have long hair, rinsing all the shampoo out is a chore. - There are not enough power plugs. Like, there's a disconnected lamp just sitting next to the bed with nowhere to plug it in. - The basement washing machine/dryer felt kind of... dirty. Clothes did not feel fresh afterwards. I would say the place is good for either a really short stay where you dont need to do laundry, or a longer stay where maybe it's worth rectifying some of the issues yourself. The shower water pressure really should be fixed tho. I would feel so much better about recommending this place if it was. There is a surprisingly good cafe near the subway station (very friendly too), and Ålsten nearby has a great gelato place.",NEGATIVE
"The most bad thing regarding this apartment was terrible cold! It was 12 degrees at the apartment. The location is great, apartment is pretty light, but this cold(",NEGATIVE
"A good value for money, for me personally the bed were a little bit hard/uncomfortable and i didnt sleep that well.",NEGATIVE
"The good: - large, recently renovated apartment with lovely kitchen - close to public transport, shops and restaurants - easy to find and only three stairs The bad: - it can be noisy. The bedroom is right by the entry to the apartment block and you hear noise through most of the evening. The neighbour in the apartment above gets up at 7am weekdays, so do you. - the washing machine. The washing machine is not in the apartment so you need to host to book it and tell you where it is. The host did not respond to three of my messages trying to book the machine. She only responded after I had checked out, she did apologise afterwards but I didn’t really help.",NEGATIVE
"It's a great apartment on a really good location. Apartment is very clean as well and we'll equipped. Check in was horrible though. Check in was supposed to happen via an app on your phone via a digital lock, which marina had to send to me. After telling her numerous times I didn't receive it, she seemed not really to care and act if I was stupid. She told me to 'just open the app and keep it in front of the door' since I didn't receive the key she was supposed to send it obviously didn't work.after calling her 7 times and waiting close to an hour without any response I decided to book a hotel for the first night instead. Then marina finally called and tried to send the digital key again, after a couple of tries it worked. She promised me to not charge me for the first night, but I am still waiting for that refund..",NEGATIVE
"Not recommended. The apartment was with less crockeries, not provided with bath towels, shampoos, hand wash . These are the basic things which always should be in place. Other than that too unhygienic. Even we asked for room / air freshener . Crockeries was stinking with strong bad odour . From which my wife fell sick. Even to stay properly we have to clean the place & also cleaned when we left the place.",NEGATIVE
"When we arrived, that was with 30min before the time we sayd to her, she was very cold and replied That is not possible to meet until the time we have sayd. I don't know if she make this with every guest she welcome to her house but maybe it was just because the country we come from, she ask to take a picture to our ID. So, I don't think she is so nice as she try to be during the SMS on the Airbnb.",NEGATIVE
"At ~$300/night, this apartment is NOT cheap! Had it provided proper beds for 4 people, it would be good value given the good location. However, considering that 2 of the ""beds"" were back/neck killers (one tiny leaky air mattress, and one old sagging couch), I would NOT recommend this apartment to any party larger than 2 people.",NEGATIVE
"Pros: Nice location close to city. Big living room and kitchen was nice. Bathrooms were also nice. Free parking very close to apartment. Cons: Smaller bedroom downstairs was not in photos and is unusable - constant noise from boiler, very aggressive smell(aroma) and due to one small window it was not possible to get rid of it. Dirty - dust, spiders,... Forced to use the bedrooms on top floor. (we were group of 4) Missing blinders in windows in bedrooms on the top floor. Whole house is old. Basically everything is squeaky. Doors hard to close/opens. Broken handles for drawers. Dirty equipment in kitchen in drawers between clean ones. Some basic maintenance to get the house to better condition would be nice.",NEGATIVE
"Our arrival was not so pleasant. We found bedlinen and towels from the previous guests still in the washing machine and dryer and wet washed linen and towels were still on top of the dryer. We immediately notified the owner about this and about broken material and asked a question about the use of the extraction hood. On the day of our departure (after 4 nights) we finally got a reply with an excuse about why it had been impossible to get back to us (phone dropped in a lake). Our friendly answer to this reply was never answered back on. This aside, the house itself was to our satisfaction. It is located in a quiet neighbourhood surrounded by nature. In close proximity there is a bus stop which brings you in combination with the metro to the heart of Stockholm in between 30 and 50 minutes, depending on where you want to go. The house is also very unique and with the two terraces very cosy. Light sleepers need to keep in mind that the upstairs bedrooms have got no curtains or shutters.",NEGATIVE
Sofi's apartment is really well located in the heart of Stockholm and it's really cozy and warm. Not perfect things are: just two small towels and not ironed sheets in the bed. I did'nt like at all that the host was completely absebt and there has been no chance to get in touch with her (this is not how we intent an airbnb experience),NEGATIVE
"No hot water when we arrived. The dishwasher had been on and was not emptied. And it was full of dishes and stuff! No coffee, no Wi-Fi, no Netflix as described which didn't help as we checked in on Christmas day. It was not easy for us to get around elsewhere. Sofabed was smaller than other places. The host didn't respond either by Airbnb messages, text messages or phone calls. If you do not want to respond during Christmas, please do not rent it out. Considering the price, this was not worth it. I never wrote a negative Airbnb review before and even hesitated to leave one, but I think later customers can benefit from this information before making their decision. I'm sorry.",NEGATIVE
The Apartment is well located in the heart of old town very close to restaurants shopping and metro. The apartment was clean and the kitchen was well equipped. What was very disappointing is the furniture has been replaced with much less desirable furniture – stained uncomfortable couch - cheap dining room chairs – no microwave. The rug was replaced with a smaller rug and living room light fixture changed out. You will not get the nice furniture as pictured on the website.,NEGATIVE
"Its very near to gamla stam underground (5 min walking). There isnt lift , the room is on the second floor. The drain in the bathroom is backed up, need to clean it, almost overflowed the bathroom. The sofa and the carpet are not the same as the photos. The sofa has a big spot.",NEGATIVE
"Well, I tried to contact the host on the phone, voice message and WhatsApp message as I didn't get the email with instructions for self check-in, she never replied and I was outside, in the street at half past midnight, in the cold and by chance I finally found a room in a hotel that I paid 185€, I was going to sleep in the street !!! As of today, I'm still waiting to hear from Kerstin...",NEGATIVE
